product,volume,weight,weight_pc,fy
Total Competitive Mail (no services),1488799.544517119,None,None,2011
Total All Mail (no services),168321558.63814434,None,None,2011
PUBLIC COST AND REVENUE ANALYSIS,None,None,None,2012
Fiscal Year 2012,None,None,None,2012
VOLUME STATISTICS,None,None,None,2012
Mail Classes and Products,Pieces,Pounds,Piece,2012
(note 1),(thousands),(thousands),(ounces),2012
MARKET DOMINANT PRODUCTS,None,None,None,2012
First-Class Mail:,None,None,None,2012
Single-Piece Letters,22755167.38,710601.305,0.4996500658568217,2012
Single-Piece Postcards,1158305.368,7404.114,0.10227512301402025,2012
Total Single-Piece Letters and Cards,23913472.748,718005.419,0.4804022746951634,2012
Presort Letters,39930761.374,2138305.771,0.8568054091319417,2012
Presort Cards,2588140.159,21129.479,0.1306233987461573,2012
Total Presort Letters and Cards,42518901.533,2159435.25,0.8126024604183182,2012
Flats,2049176.329,418597.382,3.2684147367974012,2012
Parcels,293412.825,91242.983,4.975541638304324,2012
First-Class NSAs,209577.255,13170.096,1.0054599484090008,2012
Outbound First-Class Mail International,263547.71280000004,55327.95084273086,3.358963749214877,2012
Inbound International Single-Piece Letter Post,201717.50753576818,57282.571865000005,4.5435875201734,2012
Total First-Class,69449805.91033576,3513061.6527077304,0.8093469190668893,2012
Standard Mail:,None,None,None,2012
High Density and Saturation Letters,5563558.746,233649.637,0.6719429707986406,2012
High Density and Saturation Flats and Parcels,11770274.971,2147581.51,2.919328923466999,2012
Carrier Route,9119946.416,2002720.546,3.5135654612819827,2012
Letters,46146862.879999995,2420629.51,0.8392785498921872,2012
Flats,5939634.513,1495809.033,4.02936316630565,2012
Not Flat-Machinables and Parcels,303558.642,126286.463,6.656319828970641,2012
Standard Mail NSAs,952843.728,42200.33,0.7086212147476086,2012
Total Standard Mail,79796679.896,8468877.029,1.6980911065548274,2012
Periodicals:,None,None,None,2012
In County,631286.455,181788.096,4.6074321933614115,2012
Outside County (note 2),6110064.496,2353700.254,6.163470792927617,2012
Total Periodicals,6741350.951,2535488.35,6.017757255907622,2012
Package Services:,None,None,None,2012
Single-Piece Parcel Post,70970.777,500018.281,112.72657330495339,2012
Inbound Intl. Surface Parcel Post (at UPU Rates),1100.9080000000001,18953.781370000004,275.4639823854491,2012
Bound Printed Matter Flats,230521.64,341023.662,23.66970229779729,2012
Bound Printed Matter Parcels,243307.816,673444.154,44.28590351573416,2012
Media and Library Mail (note 2),100421.982,242752.2,38.67714142507165,2012
Total Package Services,646323.123,1776192.07837,43.97037989606323,2012
International Negotiated Service Agreements,190249.61336139817,35777.94724879459,3.008926777124602,2012
U.S. Postal Service,440452.245,144762.729,5.258694195099403,2012
"Free Mail - blind, handicapped & servicemen",56951.576,24919.141,7.000794078112957,2012
Total Domestic Market Dominant Mail,157321813.31469715,16499078.927326523,1.6779952968706509,2012
Mail Classes and Products,Transactions,Pounds,Piece,2012
MARKET DOMINANT SERVICES,None,None,None,2012
Ancillary Services,None,None,None,2012
Certified Mail,227054.884,NA,NA,2012
COD,702.552,NA,NA,2012
Insurance,30115.142,NA,NA,2012
Registered Mail,2415.04,NA,NA,2012
Other Ancillary Services (note 2),2017035.241,NA,NA,2012
Total International Ancillary Services (note 2),0,NA,NA,2012
Special Services,None,None,None,2012
Money Orders,108841.46,NA,NA,2012
Total Market Dominant Service Transactions,2386164.3189999997,NA,NA,2012
COMPETITIVE PRODUCTS,None,None,None,2012
Total Express Mail,39823.055,40971.347,16.46135767333772,2012
Total First-Class Package Service,411423.642,139396.168,5.421027039569107,2012
Total Priority Mail,824201.977,1693667.297,32.87868448294198,2012
Total Ground,984202.1170000001,1881748.896,30.591259473992775,2012
Total Competitive International,273351.77048708603,314369.56169995305,18.400879490322808,2012
Total Competitive Mail,2533002.561487086,4070153.2696999526,25.709588022274588,2012
Total Market Dominant Mail (no services),157321813.31469715,None,None,2012
Total Competitive Mail (no services),2533002.561487086,None,None,2012
Total All Mail (no services),159854815.87618423,None,None,2012
"PUBLIC COST AND REVENUE ANALYSIS
Fiscal Year 2013",None,None,None,2013
VOLUME STATISTICS,None,None,None,2013
Mail Classes and Products,Pieces,Pounds,Piece,2013
(note 1),(thousands),(thousands),(ounces),2013
MARKET DOMINANT PRODUCTS,None,None,None,2013
First-Class Mail:,None,None,None,2013
Single-Piece Letters,21448767.244000003,665686.472,0.4965778886420368,2013
Single-Piece Postcards,1049160.543,6698.63,0.10215603390262075,2013
Total Single-Piece Letters and Cards,22497927.787000004,672385.102,0.47818455698912843,2013
Presort Letters,38724900.764,2115052.371,0.8738779769181385,2013
Presort Cards,2419290.077,19750.444,0.1306197661058732,2013
Total Presort Letters and Cards,41144190.841,2134802.815,0.8301741835681663,2013
Flats,1894431.962,386489.748,3.2642164469562513,2013
Parcels,247186.732,77204.462,4.99732077852787,2013
First-Class NSAs,213528.996,0,0,2013
Outbound Single-Piece First-Class Mail Int'l,231474.95080000014,30375.576659341652,2.099619094289775,2013
Inbound Single-Piece First-Class Mail Int'l,225756.73299999995,64077.6688,4.541360459889363,2013
Total First-Class,66454498.00180001,3365335.372459342,0.8102591634638636,2013
Standard Mail:,None,None,None,2013
High Density and Saturation Letters,5711634.513,252744.038,0.7080117957120412,2013
High Density and Saturation Flats and Parcels,11337794.242,2050963.085,2.8943380572596564,2013
Carrier Route,9507627.108,2026805.573,3.410828885023622,2013
Letters,46754273.577999994,2456122.706,0.8405213104303575,2013
Flats,5568019.413,1398221.753,4.017864592168584,2013
Parcels,71966.232,22956.141,5.103758329323119,2013
Standard Mail NSAs,1036465.402,0,0,2013
Every Door Direct Mail Retail,974774.141,123640.02,2.0294345498030606,2013
Total Standard Mail,80962554.629,8331453.316000001,1.6897438039723092,2013
Periodicals:,None,None,None,2013
In County,603253.982,176249.514,4.674635076010158,2013
Outside County (note 2),5755719.484,2246057.693,6.243689114436349,2013
Total Periodicals,6358973.466,2422307.207,6.094838344463065,2013
Package Services:,None,None,None,2013
Parcel Post,28675.233,196144.681,109.44339653665587,2013
Alaska Bypass,879.067,59362.783,1080.46886983586,2013
Inbound Intl. Surface Parcel Post (at UPU Rates),828.9339999999996,13993.764380000002,270.10622085714925,2013
Bound Printed Matter Flats,229611.081,350762.135,24.44217472239504,2013
Bound Printed Matter Parcels,216386.455,568755.952,42.054828394873425,2013
Media and Library Mail (note 2),94523.857,229399.165,38.83026736837453,2013
Total Package Services,570904.627,1418418.48038,39.75216632125842,2013
International Negotiated Service Agreements,162218.63398168728,37522.925335201435,3.7009731288391805,2013
U.S. Postal Service,630936.792,150147.266,3.807602102874356,2013
"Free Mail - blind, handicapped & servicemen",54577.309,23037.844,6.753823351752282,2013
Total Market Dominant Mail,155194663.45878166,15748222.411174545,1.645563658470816,2013
MARKET DOMINANT SERVICES,None,None,None,2013
Ancillary Services,None,None,None,2013
Certified Mail,233944.694,NA,NA,2013
COD,486.412,NA,NA,2013
Insurance,28079.6,NA,NA,2013
Registered Mail,2238.483,NA,NA,2013
Other Ancillary Services (note 2),2545871.816,NA,NA,2013
Total International Ancillary Services (note 2),23942.719999999994,NA,NA,2013
Special Services,None,None,None,2013
Money Orders,102506.936,NA,NA,2013
Total Market Dominant Service Transactions,2937070.6610000003,NA,NA,2013
COMPETITIVE PRODUCTS,None,None,None,2013
Total Priority Mail Express,39116.17199999999,38233.143,15.638807601111889,2013
Total First-Class Package Service,544333.961,185475.775,5.451822984823833,2013
Total Priority Mail,871365.662,1815870.114,33.34297309503114,2013
Total Ground,1370835.5089999998,2411601.47,28.147522636138547,2013
Total Competitive International,282130.5962409757,319416.852590309,18.114553010336305,2013
Total Competitive Mail,3107781.9002409754,4770597.35459031,24.56078326073217,2013
Total Market Dominant Mail (no serivces),155194663.45878166,None,None,2013
Total Competitive Mail (no services),3107781.9002409754,None,None,2013
Total All Mail (no services),158302445.35902265,None,None,2013
"PUBLIC COST AND REVENUE ANALYSIS
Fiscal Year 2014",None,None,None,2014
VOLUME STATISTICS,None,None,None,2014
Mail Classes and Products,Pieces,Pounds,Piece,2014
(note 1),(thousands),(thousands),(ounces),2014
MARKET DOMINANT PRODUCTS,None,None,None,2014
First-Class Mail:,None,None,None,2014
Single-Piece Letters,20599373.684,631655.739,0.49062131592136415,2014
Single-Piece Postcards,924941.354,5910.896,0.10224900810305859,2014
Total Single-Piece Letters and Cards,21524315.038,637566.6349999999,0.4739322083880753,2014
Presort Letters,37995002.961,2143083.168,0.9024694832422123,2014
Presort Cards,2198318.071,17946.389,0.13061905271486984,2014
Total Presort Letters and Cards,40193321.032000005,2161029.557,0.8602541920950464,2014
Flats,1782673.495,366375.725,3.2883259982501727,2014
Parcels,233115.343,71315.962,4.894810342878204,2014
First-Class NSAs,103014.231,0,0,2014
Outbound Single-Piece First-Class Mail Int'l,215536.03780000008,13239.451371235426,0.9828111535404996,2014
Inbound Single-Piece First-Class Mail Int'l,242237.93933333328,70665.73014444445,4.667525183803969,2014
Total First-Class,64294213.11613334,3320193.0605156794,0.8262499281590974,2014
Standard Mail:,None,None,None,2014
High Density and Saturation Letters,5970133.065,248105.202,0.6649237443755367,2014
High Density and Saturation Flats and Parcels,11278633.131,2040307.539,2.894403980059736,2014
Carrier Route,8980116.183,1961126.385,3.4941666143920087,2014
Letters,47571876.132,2446219.417,0.8227447360578695,2014
Flats,5054394.637,1292884.601,4.092706466679483,2014
Parcels,65845.949,23062.029,5.603874947568908,2014
Standard Mail NSAs,566250.828,0,0,2014
Every Door Direct Mail Retail,890148.175,112906.092,2.0294345623974346,2014
Total Standard Mail,80377398.1,8124611.265,1.61729271303695,2014
Periodicals:,None,None,None,2014
In County,586130.341,171805.358,4.6898881284836955,2014
Outside County (note 2),5458584.188,2103171.584,6.164738728034434,2014
Total Periodicals,6044714.529,2274976.942,6.021728718100725,2014
Package Services:,None,None,None,2014
Alaska Bypass,1289.894,87001.507,1079.1771354855514,2014
Inbound Intl. Surface Parcel Post (at UPU Rates),905.7249999999997,14128.420170000003,249.58428079163116,2014
Bound Printed Matter Flats,249745.014,392470.549,25.14376036352021,2014
Bound Printed Matter Parcels,211976.699,523593.756,39.52085363872941,2014
Media and Library Mail (note 2),86304.499,210208.731,38.970618391516304,2014
Total Package Services,550221.831,1227402.96317,35.6918724490232,2014
International Negotiated Service Agreements,158534.7546471302,48448.05766598693,4.8895835136035455,2014
U.S. Postal Service,454257.974,113679.215,4.00404075240295,2014
"Free Mail - blind, handicapped & servicemen",47386.127,21481.626,7.253304664464348,2014
Total Market Dominant Mail,151926726.4317805,15130793.129351666,1.5934832254700972,2014
MARKET DOMINANT SERVICES,None,None,None,2014
Ancillary Services,None,None,None,2014
Certified Mail,212518.553,NA,NA,2014
COD,363.771,NA,NA,2014
Insurance,19632.879,NA,NA,2014
Registered Mail,2185.66,NA,NA,2014
Other Ancillary Services (note 2),3114870.915,NA,NA,2014
Total International Ancillary Services (note 2),26720.720999999998,NA,NA,2014
Special Services,None,None,None,2014
Money Orders,96962.545,NA,NA,2014
Total Market Dominant Service Transactions,3473255.0439999998,NA,NA,2014
COMPETITIVE PRODUCTS,None,None,None,2014
Total Express Mail,36230.538,37073.345,16.372197398780003,2014
Total First-Class Package Service,634615.25,219823.762,5.5422245084718655,2014
Total Priority Mail,920083.158,1989049.145,34.589032570901594,2014
Total Ground,1575595.774,2987926.661,30.342063215003265,2014
Total Competitive International,281480.41913336026,313275.8370175459,17.80732531134233,2014
Total Competitive Mail,3448005.1391333602,5547148.750017546,25.740791100615567,2014
Total Market Dominant Mail (no services),151926726.4317805,None,None,2014
Total Competitive Mail (no services),3448005.1391333602,None,None,2014
Total All Mail (no services),155374731.57091385,None,None,2014
"PUBLIC COST AND REVENUE ANALYSIS
Fiscal Year 2015",None,None,None,2015
VOLUME STATISTICS,None,None,None,2015
Mail Classes and Products,Pieces,Pounds,Piece,2015
(note 1),(thousands),(thousands),(ounces),2015
MARKET DOMINANT PRODUCTS,None,None,None,2015
First-Class Mail:,None,None,None,2015
Single-Piece Letters,19737174.057,602259.114,0.48822317704506624,2015
Single-Piece Postcards,838953.685,5358.105,0.10218642760952887,2015
Total Single-Piece Letters and Cards,20576127.742,607617.2189999999,0.47248324008776943,2015
Presort Letters,38004706.624,2193023.839,0.9232641043949453,2015
Presort Cards,2169536.984,17714.73,0.1306433963054303,2015
Total Presort Letters and Cards,40174243.607999995,2210738.569,0.8804600641430951,2015
Flats,1668897.454,339480.48,3.2546563403170006,2015
Parcels,200099.524,61725.308,4.935568602352097,2015
First-Class NSAs,0,0,0,2015
Outbound Single-Piece First-Class Mail Int'l,212184.02580000006,13260.443523859802,0.9999202135119295,2015
Inbound Single-Piece First-Class Mail Int'l,318284.5289999999,99609.84624000001,5.007335872866132,2015
Total First-Class,63149836.88279998,3332431.86576386,0.8443237937601726,2015
Standard Mail:,None,None,None,2015
High Density and Saturation Letters,6478281.135,263617.628,0.6510804270614601,2015
High Density and Saturation Flats and Parcels,11232312.962000001,2032941.946,2.895848009759185,2015
Carrier Route,8291047.83,1828308.508,3.5282556231496254,2015
Letters,47720675.229,2397006.951,0.8036791397430458,2015
Flats,5248504.828000001,1347178.278,4.10685579119753,2015
Parcels,60420.263,22646.39,5.997031823578788,2015
Standard Mail NSAs,226464.34500000003,0,0,2015
Every Door Direct Mail Retail,832565.997,105602.388,2.029434560249042,2015
Total Standard Mail,80090272.58899999,7997302.089,1.5976576091910348,2015
