product,revenue,attributable_cost,volume_variable_cost,product_specific_cost,rev_pc,attributable_cost_pc,cont_pc,cost_coverage,fy
Periodicals:,None,None,None,None,None,None,None,None,2008
In County,89.118523,94.33765367237307,94.33565367237307,0.002,0.107257057955131,0.11353845246390355,-0.006281394508772548,0.9446760602028679,2008
Outside County,2187.870965,2637.8113896500618,2637.7923896500615,0.019,0.2814221046220972,0.3392971727980582,-0.057875068175961,0.8294266123743775,2008
Fees (note 2),17.867079,None,None,None,None,None,None,None,2008
Total Periodicals,2294.856567,2732.149043322435,2732.1280433224347,0.021,0.2666817097489661,0.3174987877846873,-0.05081707803572122,0.8399455998232568,2008
Package Services:,None,None,None,None,None,None,None,None,2008
Single-Piece Parcel Post,718.0911090000001,783.9740141298785,783.9740141298785,0,8.020108988610748,8.75593216342174,-0.7358231748109922,0.9159628968021334,2008
Inbound Surface Parcel Post (at UPU Rates),9.028411085460524,5.691398132592494,5.691398132592494,0,14.943865540234748,9.42042709667634,5.523438443558408,1.5863256927604859,2008
Bound Printed Matter Flats,261.936556,157.550945931823,157.550945931823,0,0.9044050866035018,0.54398621970098,0.3604188669025218,1.6625514651835076,2008
Bound Printed Matter Parcels,429.930085,399.16256426846473,399.16256426846473,0,1.393340923868691,1.2936278606127747,0.09971306325591622,1.0770801760629085,2008
Media and Library Mail,418.873438,478.7521111871549,478.7521111871549,0,2.6426518770898046,3.0204234752394155,-0.3777715981496108,0.8749276049380239,2008
Fees (note 2),4.228629,None,None,None,None,None,None,None,2008
Total Package Services,1842.0882280854607,1825.1310336499134,1825.1310336499134,0,2.1661614755239342,2.150066249310471,0.016095226213463043,1.0074859210587697,2008
"Free Mail - blind, handicapped & servicemen",0,51.97338962126797,51.97338962126797,0,0,0.7220995515587131,NA,None,2008
Total Market-Dominant Mail,62952.10829567284,36818.43700313679,36783.488003136794,34.949,0.31234667100434893,0.18268039849435191,0.12966627250999702,1.7097984982444956,2008
Mail Classes and Products,Revenue,Cost,Variable Cost,Specific Cost,Revenue,Cost $,$,Coverage,2008
(note 1),(note 1),(note 2),(note 2),(note 2),$,(note 2),(note 2),(note 2),2008
MARKET DOMINANT AND COMPETITIVE PRODUCTS,A,B,C,C,D,E,(D-E),(D/E),2008
Ancillary Services:,None,None,None,None,None,None,None,None,2008
Certified Mail,717.822287,602.5717020915571,602.510702091557,0.061,2.66930694128929,2.2407340314546342,0.42857290983465557,1.1912645159213455,2008
COD,8.135548,6.834863164881526,6.834863164881526,0,7.043605944801242,5.917497238054836,1.1261087067464057,1.1903015179296599,2008
Insurance,144.581632,143.85510000483438,143.84310000483438,0.012,2.8022291987513572,2.7881478168875797,0.014081381863777498,1.0050504430857243,2008
Registered Mail,56.883488,57.739828521379835,57.73882852137984,0.001,14.73210552596193,14.95388691403583,-0.22178138807390013,0.9851689805233358,2008
Stamped Envelopes,23.420650000000002,10.044811055880714,10.044811055880714,None,None,None,None,None,2008
Stamped Cards (note 3),0.98749,1.3644528892517942,1.3644528892517942,None,None,None,None,None,2008
Other Domestic Ancillary Services (note 2),734.4717539999999,533.6674621691984,533.3914621691985,0.276,None,None,None,None,2008
Total Domestic Ancillary Services,1686.302849,1356.0782198969837,1355.7282198969838,0.35,None,None,None,None,2008
Total International Ancillary Services (note 2),29.054419000000003,62.727673269849376,62.727673269849376,None,None,None,None,None,2008
Special Services:,None,None,None,None,None,None,None,None,2008
Money Orders,223.336366,152.77460484707774,149.94636684707774,2.828238,1.4976491575103599,1.0244760507932869,0.473173106717073,1.46186839248285,2008
Post Office Box Service,896.656469,640.2829912507683,639.9634829107683,0.31950834,None,None,None,None,2008
Other Special Services (note 2),0.191,5.147122243775213,5.147122243775213,0,None,None,None,1.4033791197417802,2008
Total Special Services,1120.183835,798.2047183416213,795.0569720016214,3.14774634,None,None,None,None,2008
Total Market Dominant Services,2835.541103,2217.0106115084545,2213.5128651684545,3.49774634,None,None,None,None,2008
Total Market Dominant Mail and Services,65787.64939867285,39035.44761464524,38997.00086830525,38.44674634,None,None,None,None,2008
Total Competitive Mail and Services,8434.527474194956,6602.138202971046,6568.395554918716,33.74264805232956,None,None,None,None,2008
Total All Mail and Services,74222.1768728678,45637.585817616295,45565.39642322397,72.18939439232955,None,None,None,None,2008
Miscellaneous items (note 2),708.354,None,None,None,None,None,None,None,2008
Transit Revenue,1.24612029,None,None,None,None,None,None,None,2008
Appropriations: Revenue Forgone,103.148,None,None,None,None,None,None,None,2008
Total Operating Revenue,75034.92499315781,None,None,None,None,None,None,None,2008
Investment Income,35.558,None,None,None,None,None,None,None,2008
Total (note 5),75070.48299315781,45637.585817616295,45565.39642322397,None,None,None,None,None,2008
Institutional Costs,None,32218.768282981473,None,None,None,None,None,None,2008
Total All,75070.48299315781,77856.35410059776,None,None,None,None,None,None,2008
Mail Classes and Products,Revenue,Cost,Variable Cost,Specific Cost,$,Cost $,$,Coverage,2009
(note 1),(note 1),(note 2),(note 2),(note 2),None,(note 2),(note 2),(note 2),2009
MARKET DOMINANT MAIL,A,B,C,F,D,E,(D-E),(D/E),2009
First-Class Mail:,None,None,None,None,None,None,None,None,2009
Single-Piece Letters,13298.977063999999,7902.016361397862,7891.702361397863,10.314,0.44305607632321875,0.26325606452845407,0.17980001179476468,1.6829852604414777,2009
Single-Piece Cards,454.533625,440.0029366301319,439.4479366301319,0.555,0.28113944583932626,0.2721518826508632,0.008987563188463055,1.0330240713417844,2009
Total Single-Piece Letters and Cards,13753.510688999999,8342.019298027993,8331.150298027995,10.869,0.4347806135132463,0.26371072450881716,0.17106988900442915,1.6487028137481357,2009
Presort Letters,15615.862781,5366.240834179312,5350.741834179312,15.499,0.3485084579224549,0.11976157476459194,0.22874688315786296,2.9100189990612333,2009
Presort Cards,666.223915,240.95568788529647,239.8816878852965,1.074,0.2131223749339078,0.07708076413910751,0.13604161079480026,2.7649229650770746,2009
Total Presort Letters and Cards,16282.086696,5607.196522064608,5590.623522064608,16.573,0.3396792023406726,0.1169781292498714,0.22270107309080123,2.903783848475642,2009
Flats,3539.891995,2157.5097200805053,2156.524720080505,0.985,1.2357819192272548,0.753190070883093,0.4825918483441618,1.6407304968563077,2009
Parcels,1113.757996,1095.1752011517642,1094.4702011517643,0.705,1.9175425701509297,1.885548815383872,0.03199375476705768,1.016967874024807,2009
Dom. Negotiated Serv. Agreement (NSA) Mail,99.036419,38.285,35.364934,2.920066,0.3285051513221616,0.12699186668258833,0.2015132846395733,2.5868203996343215,2009
Outbound First-Class Mail International,756.357197,468.13410102627125,468.13410102627125,0,1.6570475903980815,1.0256007177105697,0.6314468726875118,1.6156848974297515,2009
Inbound International Single-Piece Letter Post,161.35364199999992,266.6239586843889,266.6239586843889,0,0.36675033391591716,0.606025526696716,-0.2392751927807989,0.6051730789542409,2009
First-Class Mail Fees,166.761263,None,None,None,None,None,None,None,2009
Total First-Class,35872.755896999995,17974.94380103553,17942.891735035533,32.052065999999996,0.42599094239366814,0.21345344280941378,0.21253749958425436,1.9957089320598251,2009
Standard Mail:,None,None,None,None,None,None,None,None,2009
High Density and Saturation Letters,681.945699,318.1518514898818,317.7818514898818,0.37,0.13409896941276542,0.06256192459915542,0.07153704481360999,2.1434597843969736,2009
High Density and Saturation Flats and Parcels,1971.81646,825.6419543656971,824.7429543656971,0.899,0.15957302853298705,0.0668166585555476,0.09275636997743945,2.3882222185703443,2009
Carrier Route,2271.9090039999996,1578.3228802029168,1577.6016692029168,0.7212109999999999,0.230526175524292,0.1601269602007585,0.07039921532353349,1.4396462359322302,2009
Letters,8709.489809,5032.818676898334,5029.407676898334,3.411,0.18849102539425677,0.10885722417987198,0.07963380121438479,1.731543559137615,2009
Flats,2865.9858390000004,3488.2535818524448,3487.684581852445,0.569,0.3676272700531763,0.4475174171561414,-0.0798901471029651,0.8214814797362603,2009
Not Flat-Machinables and Parcels,631.8975300000001,840.0006868477528,839.9026868477529,0.098,0.9305728007383962,1.2370388467606286,-0.3064660460222324,0.7522583491821946,2009
Domestic Negotiated Serv. Agreement Mail,142.262201,88.774,85.194066,3.579934,0.2003200875660946,0.12500309519035546,0.07531699237573913,1.6025210196679207,2009
Standard Mail Fees,88.418651,0,0,None,None,None,None,None,2009
Total Standard Mail,17363.725193,12171.963631657025,12162.315486657028,9.648145,0.2099462821971167,0.14712895910018142,0.06281732309693527,1.4269541732716426,2009
Periodicals:,None,None,None,None,None,None,None,None,2009
In County,90.615809,105.05217055625623,105.05217055625623,0,0.10545693038400314,0.12225768946166489,-0.01680075907766175,0.8625791215943943,2009
Outside County,1932.085008,2574.931010774408,2574.931010774408,0,0.27233766209745247,0.3629502266375086,-0.09061256454005612,0.7503443781272132,2009
Fees (note 2),15.443222,None,None,None,None,None,None,None,2009
Total Periodicals,2038.144039,2679.9831813306646,2679.9831813306646,0,0.2562505734136474,0.3369473471030345,-0.0806967736893871,0.7605062797401667,2009
Package Services:,None,None,None,None,None,None,None,None,2009
Single-Piece Parcel Post,699.269373,761.3084209958824,761.3084209958824,0,8.663311572928226,9.43191895547432,-0.7686073825460937,0.9185099674653172,2009
Inbound Surface Parcel Post (at UPU Rates),12.879785999999998,12.254297980994219,12.254297980994219,0,14.663564648837081,13.951450021795585,0.7121146270414958,1.0510423379597817,2009
Bound Printed Matter Flats,206.445151,118.83889884318269,118.83889884318269,0,0.8645141905956898,0.4976523495322839,0.3668618410634059,1.7371849874881515,2009
Bound Printed Matter Parcels,362.608191,371.1497593879198,371.1497593879198,0,1.3399015714133335,1.371464181385672,-0.03156260997233851,0.9769861944622944,2009
Media and Library Mail,397.398029,472.36113524797537,472.36113524797537,0,2.8357464770706,3.3706670074715324,-0.5349205304009326,0.841301282738636,2009
Fees (note 2),3.976928,None,None,None,None,None,None,None,2009
Total Package Services,1682.577458,1735.9125124559546,1735.9125124559546,0,2.2863895598276174,2.3602800748749333,-0.07389051504731592,0.9686941749693704,2009
Mail Classes and Products,Revenue,Cost,Variable Cost,Specific Cost,Revenue,Cost $,$,Coverage,2009
(note 1),(note 1),(note 2),(note 2),(note 2),$,(note 2),(note 2),(note 2),2009
"Free Mail - blind, handicapped & servicemen",0,54.15842367201784,54.15842367201784,0,0,0.87411112645147,None,None,2009
Total Market-Dominant Mail,56957.20258699999,34616.961550151194,34575.2613391512,41.700210999999996,0.3234035649596802,0.19655545330357035,0.12684811165610985,1.6453553413254787,2009
MARKET DOMINANT SERVICES,None,None,None,None,None,None,None,None,2009
Ancillary Services:,None,None,None,None,None,None,None,None,2009
Certified Mail,729.8130259999999,659.479506542485,659.464506542485,0.015,2.7386053274251556,2.4746805354293064,0.2639247919958492,1.1066500456189443,2009
COD,7.564147,6.596176426477429,6.596176426477429,0,7.4508567235188945,6.497383707209312,0.9534730163095828,1.1467472230786735,2009
Insurance,129.069205,116.8692950947433,116.8672950947433,0.002,2.948979057938531,2.6702349623245625,0.2787440956139684,1.1043893513293335,2009
Registered Mail,49.905881,50.585582758396306,50.585582758396306,0,15.683922605348814,15.89753249580255,-0.21360989045373557,0.986563330472189,2009
Stamped Envelopes,16.543434,4.957754960541586,4.957754960541586,None,None,None,None,None,2009
Stamped Cards (note 3),0.678953,1.0715722997094141,1.0715722997094141,None,None,None,None,None,2009
Other Domestic Ancillary Services (note 2),751.479542,519.7068421426262,519.6338421426262,0.073,None,None,None,None,2009
Total Domestic Ancillary Services,1685.054188,1359.2667302249793,1359.176730224979,0.09,None,None,None,None,2009
Total International Ancillary Services (note 2),25.645055844997938,37.40985801213078,37.40985801213078,None,None,None,None,None,2009
Special Services:,None,None,None,None,None,None,None,None,2009
Money Orders,191.1,146.13492614018324,143.03593214018323,3.0989940000000002,1.4151419148151216,1.0821646216608334,0.33297729315428826,1.3076956005485165,2009
Post Office Box Service,817.075478,632.2553704504696,631.0031223404696,1.25224811,None,None,None,None,2009
Caller Service,94.821754,34.12707531213938,34.12707531213938,0,None,None,None,None,2009
Address List Services,0.033970999999999994,0.03500854,0.03500854,0,None,None,None,None,2009
Confirm,2.38435,2.950777,0.213427,2.73735,None,None,None,None,2009
Change of Address Credit Card Authen. (note 4),9.082,1.29,1.29,0,None,None,None,None,2009
Total Special Services,1114.4975530000002,816.7931574427922,809.7045653327923,7.0885921100000004,None,None,None,None,2009
Total Market Dominant Services,2825.196796844998,2213.469745679902,2206.2911535699022,7.17859211,None,None,None,None,2009
Total Market Dominant Mail and Services,59782.39938384499,36830.4312958311,36781.5524927211,48.87880310999999,None,None,None,None,2009
COMPETITIVE MAIL AND SERVICES,A,B,C,C,D,E,(D-E),(D/E),2009
Total Express Mail,884.571111,553.3120009736624,544.3732101964006,8.93879077726188,18.81454800868645,11.768771415485823,7.045776593200628,1.5986841229603213,2009
Total Priority Mail,5362.466262,4123.86401356951,4059.1036111695093,64.7604024,6.7873333945507195,5.219620705538398,1.5677126890123212,1.3003499253018258,2009
Total Ground,515.033951,430.21471375916644,430.1077969191665,0.1,2.135,1.784,0.352,1.1972,2009
Total Competive International,1345.145375210957,1043.5502296340514,1038.5341798840514,5.01604975,4.187879895781701,3.2489150298996052,0.9389648658820957,1.2890087482254378,2009
Total Competitive Services,25.569476,23.81442665792363,21.29365455792363,2.5207721000000003,9.455373383965178,8.806371158162252,0.649002225802926,1.073696896729295,2009
Total Competitive Mail and Services,8132.7861752109575,6174.755384594315,6093.412452727052,81.34293186726188,5.806238772799358,4.408342154114626,1.3978966186847321,1.3171025682251034,2009
Total All Mail and Services,67915.18555905594,43005.18668042541,42874.964945448155,130.22173497726186,None,None,None,None,2009
Miscellaneous items (note 2),129.3715649999982,None,None,None,None,None,None,None,2009
Transit Revenue,0.076015,None,None,None,None,None,None,None,2009
Appropriations: Revenue Forgone,46.429,None,None,None,None,None,None,None,2009
Total Operating Revenue,68091.06213905594,None,None,None,None,None,None,None,2009
Investment Income,24.393589,None,None,None,None,None,None,None,2009
Total (note 5),68115.45572805594,43005.18668042541,42874.964945448155,None,None,None,None,None,2009
Institutional Costs,None,28906.834,None,None,None,None,None,None,2009
Total All,68115.45572805594,71912.02068042541,None,None,None,None,None,None,2009
Mail Classes and Products,Revenue,Cost,Variable Cost,Specific Cost,$,Cost $,$,Coverage,2010
(note 1),(note 1),(note 2),(note 2),(note 2),None,(note 2),(note 2),(note 2),2010
MARKET DOMINANT MAIL,A,B,C,F,D,E,(D-E),(D/E),2010
First-Class Mail:,None,None,None,None,None,None,None,None,2010
Single-Piece Letters,12339.55516,7376.828271347468,7354.368770347468,22.459501000000003,0.4545304368026521,0.27172721649341186,0.18280322030924023,1.6727453461168929,2010
Single-Piece Postcards,413.21623800000003,398.61375866098217,397.4249316609822,1.188827,0.28755605560445285,0.27739422996783913,0.01016182563661372,1.036633154329821,2010
Total Single-Piece Letters and Cards,12752.771398,7775.44203000845,7751.79370200845,23.648328000000003,0.4461364584467514,0.27201210324134045,0.17412435520541097,1.6401345864044903,2010
Presort Letters,15345.136872,5161.838861272204,5157.781783272204,4.057078,0.35444173392893974,0.1192280741131407,0.23521365981579906,2.972804321175184,2010
Presort Cards,630.2087630000001,237.00772742318222,236.73300942318224,0.274718,0.21497347757936794,0.08084682151165899,0.13412665606770896,2.6590220068004333,2010
Total Presort Letters and Cards,15975.345635,5398.846588695386,5394.514792695386,4.331796,0.3455968043022159,0.11679397557967423,0.22880282872254165,2.959029372764672,2010
Flats,3117.723579,2147.953273039222,2146.390146039222,1.5631270000000002,1.2551264056073514,0.8647183763055041,0.39040802930184737,1.451485755362179,2010
Parcels,1131.180789,1132.4182061525223,1132.4172391525224,0.000967,1.9692270613870622,1.9713812310535443,-0.0021541696664821863,0.9989072790018748,2010
Outbound First-Class Mail International,689.9091430000001,362.95911898288665,362.3357897626263,0.6233292202603711,2.0630996201308767,1.085390486695769,0.9777091334351076,1.9007902182849663,2010
Inbound International Single-Piece Letter Post,204.49609699999993,257.7900115938692,257.1449358141296,0.6450757797396289,0.5909082755630515,0.7449054209005874,-0.15399714533753595,0.7932661771324552,2010
Fees (note 2),154.048906,0,0,0,None,None,None,None,2010
Total First-Class,34025.47554700001,17075.409228472334,17044.596605472336,30.812623000000002,0.4331740924270402,0.21738490870308977,0.21578918372395042,1.9926594491372038,2010
Standard Mail:,None,None,None,None,None,None,None,None,2010
High Density and Saturation Letters,736.917389,348.52752449047904,347.70861149047903,0.818913,0.13576116718585907,0.06420869452603666,0.07155247265982241,2.1143735780332342,2010
High Density and Saturation Flats and Parcels,1848.254859,825.8269911421609,824.1126231421608,1.714368,0.1626491749629728,0.07267400278557942,0.08997517217739337,2.238065452963422,2010
Carrier Route,2222.9715508609784,1559.8279204286189,1558.3986644286188,1.4292559999999999,0.2357769240206345,0.16544135661012907,0.07033556741050542,1.4251389667714993,2010
Letters,9204.686882801241,5106.086248102746,5098.767906102746,7.318342,0.19056891079619234,0.10571367686069809,0.08485523393549425,1.8026892683650613,2010
Flats,2579.3634198788363,3161.3270187850458,3160.2607427850457,1.0662759999999998,0.3659071022718151,0.44846414423895714,-0.08255704196714203,0.8159116107102805,2010
Not Flat-Machinables and Parcels,602.318108,780.1561631621059,780.1160101621059,0.040153,0.8826423500494971,1.1432478288681966,-0.26060547881869955,0.7720481314390981,2010
Standard Mail NSAs,58.45296845894463,36.610584,36.610584,0,0.2154951268148552,0.13497009048201128,0.08052503633284391,1.5966139316145471,2010
Fees (note 2),77.44375500000001,0,0,0,None,None,None,None,2010
Total Standard Mail,17330.408933,11818.362450111157,11805.975142111156,12.387307999999999,0.21000511401547411,0.14321165550143522,0.0667934585140389,1.4663968046467386,2010
Periodicals:,None,None,None,None,None,None,None,None,2010
In County,73.11320500000001,98.49532674504776,98.45430874504777,0.041018,0.10512998130453591,0.1416271090740862,-0.0364971277695503,0.742301258507943,2010
Outside County (note 2),1793.301865,2391.342936533208,2390.9551995332076,0.387737,0.27278642743754167,0.3637568828574735,-0.09097045541993182,0.7499141330184103,2010
Fees (note 2),12.419554,0,0,0,None,None,None,None,2010
Total Periodicals,1878.834624,2489.838263278256,2489.4095082782555,0.428755,0.2584555312836548,0.34250618065358474,-0.08405064936992995,0.754601072571768,2010
Package Services:,None,None,None,None,None,None,None,None,2010
Single-Piece Parcel Post,614.9368199999999,748.8685933060485,748.8685933060485,0,10.013897297762854,12.194900254772369,-2.1810029570095146,0.821154506273555,2010
Inbound Surface Parcel Post (at UPU Rates),17.028995,11.460227628095,11.460227628095,0,15.639589507723366,10.525181067260634,5.114408440462732,1.485921183472224,2010
Bound Printed Matter Flats,190.409094,129.35824797227608,129.35824797227608,0,0.8287606587719726,0.5630352235544575,0.2657254352175151,1.471951707639147,2010
Bound Printed Matter Parcels,321.564284,349.2490705081024,349.2490705081024,0,1.3139255650653534,1.4270467995006186,-0.11312123443526523,0.9207305363251921,2010
Media and Library Mail (note 2),368.766428,458.55136772185097,458.55136772185097,0,3.0147162941120205,3.7487205314644774,-0.7340042373524569,0.8041987309558896,2010
Fees (note 2),2.797598,0,0,0,None,None,None,None,2010
Total Package Services,1515.5032190000002,1697.487507136373,1697.487507136373,0,2.298632551329179,2.57465638506063,-0.2760238337314509,0.8927919720343765,2010
International Negotiated Service Agreements,0.625429,0.162,0.162,0,0.5473491030944706,0.14177557276893818,0.40557353032553245,3.8606728395061727,2010
"Free Mail - blind, handicapped & servicemen",0,66.30327198531165,66.30327198531165,0,0,0.9864478570249007,-0.9864478570249007,None,2010
Total Market Dominant Mail,54750.84775200001,33147.562720983435,33103.93403498343,43.628686,0.32301141296066954,0.19555936593358328,0.12745204702708626,1.6517307233976821,2010
Mail Classes and Products,Revenue,Cost,Variable Cost,Specific Cost,Revenue,Cost $,$,Coverage,2010
(note 1),(note 1),(note 2),(note 2),(note 2),$,(note 2),(note 2),(note 2),2010
MARKET DOMINANT SERVICES,A,B,C,C,D,E,(D-E),(D/E),2010
Ancillary Services,None,None,None,None,None,None,None,None,2010
Certified Mail,752.4292240000001,634.6912415093125,634.6912415093125,0,2.7999999880919035,2.361863962726826,0.4381360253650777,1.1855043441448845,2010
COD,6.522005,8.245738439967338,8.245738439967338,0,7.815623565728721,9.881253950011372,-2.0656303842826507,0.790954630380664,2010
Insurance,125.567053,98.62350974697769,98.62350974697769,0,3.2076438027337315,2.5193638162690877,0.6882799864646438,1.2731959481278547,2010
Registered Mail,47.805705,42.56664914108479,42.56664914108479,0,16.11491631693381,14.348872980763778,1.7660433361700338,1.1230788883933676,2010
Stamped Envelopes,14.028516999999999,3.717385690583069,3.717385690583069,0,None,None,None,None,2010
Stamped Cards (note 3),0.879068,0.6459196650934873,0.6459196650934873,0,None,None,None,None,2010
Other Ancillary Services (note 2),807.075588,494.10919366220594,494.10919366220594,0,0.5026954124383626,0.3077610431919165,0.19493436924644608,1.6333952056592396,2010
Total Domestic Ancillary Services,1754.30716,1282.599637855225,1282.599637855225,0,None,None,None,None,2010
Total International Ancillary Services (note 2),29.387843792267514,27.402398677779438,27.402398677779438,0,10.675498711060547,9.95426115071337,0.721237560347177,1.0724551575880135,2010
Special Services:,None,None,None,None,None,None,None,None,2010
Address Management Services,85.80113300000001,21.628504425646387,-1.244986574353614,22.873491,None,None,None,None,2010
Caller Service,93.920879,30.62132079612903,30.62132079612903,0,None,None,None,None,2010
Change of Address Credit Card Authentication,11.214161,1.382702,1.382702,0,None,None,None,None,2010
Confirm,2.6585,1.105477,1.105477,0,None,None,None,None,2010
Customized Postage,1.2,0.05,0.05,0,None,None,None,None,2010
Money Orders,183.152827,126.33889400350898,123.29966900350897,3.039225,1.4841634385630973,1.023776539078518,0.4603868994845792,1.4496947155079025,2010
Post Office Box Service,813.186449,674.8919059980009,669.2636489980009,5.628257,None,None,None,None,2010
Stamp Fulfillment Services,3.0693490000000003,5.778908,5.778908,0,None,None,None,None,2010
Other Special Services (note 2),0,0,0,0,None,None,None,None,2010
Total Special Services,1194.2032980000001,861.7977122232853,830.2567392232853,31.540973,None,None,None,None,2010
Total Market Dominant Special Services,2977.8983017922674,2171.79974875629,2140.2587757562897,31.540973,1.457378138075556,1.0628749384122507,0.39450319966330527,1.371166150791573,2010
Total Market Dominant Mail and Services,57728.746053792274,35319.362469739724,35244.19281073972,75.169659,0,0,None,None,2010
COMPETITIVE MAIL AND SERVICES,A,B,C,C,D,E,(D-E),(D/E),2010
Total Express Mail,827.8979840000001,495.55951975645365,489.6629579354244,5.896561821029312,19.45570617699613,11.645710698571854,7.809995478424277,1.6706327918125288,2010
Total Priority Mail,5656.639116,4246.634295008302,4128.375673608302,118.25862140000001,6.988072321633155,5.246187173777207,1.7418851478559478,1.3320287839829028,2010
Total Ground,568.75617,419.89747067170225,419.89149227170225,None,1.9161391582963485,1.4146342993055199,0.5015048589908286,1.354512017160216,2010
Total Competitive International,1490.1602562999997,979.1116269930843,973.4716982830843,5.639928710000001,5.179328784328116,3.403084340302451,1.7762444440256653,1.5219513436648475,2010
Total Domestic Competitive Services,135.017737,115.68142787970389,81.28394460970388,34.39748327,None,None,None,None,2010
Total Competitive Mail and Services,8678.4712633,6256.884340309246,6092.685766708217,164.19259520102932,None,None,None,None,2010
Total All Mail and Services,66407.21731709228,41576.24681004897,41336.87857744793,239.36823260102932,None,None,None,None,2010
RPW items:,None,None,None,None,None,None,None,None,2010
Miscellaneous Items,556.231,0,None,None,None,None,None,None,2010
Transit Revenue,0.1432,0,0,0,None,None,None,None,2010
Appropriations:  Revenue Forgone,88.877,0,0,0,None,None,None,None,2010
Total Operating Income,67052.46851709227,41576.24681004897,41336.87857744793,239.36823260102932,None,None,None,None,2010
Investment Income,24.114,0,0,0,None,None,None,None,2010
Total,67076.58251709228,41576.24681004897,41336.87857744793,239.36823260102932,None,None,None,None,2010
All Other,None,34005.720935683064,None,None,None,None,None,None,2010
Total,None,75581.96774573204,None,None,None,None,None,None,2010
Mail Classes and Products,Revenue,Cost,Variable Cost,Specific Cost,$,Cost $,$,Coverage,2011
(note 1),(note 1),(note 2),(note 2),(note 2),None,(note 2),(note 2),(note 2),2011
MARKET DOMINANT MAIL,A,B,C,F,D,E,(D-E),(D/E),2011
First-Class Mail:,None,None,None,None,None,None,None,None,2011
Single-Piece Letters,11201.600776000001,6848.20922291634,6824.30179291634,23.90743,0.45626170998569965,0.27894010087220844,0.1773216091134912,1.6356978023562414,2011
Single-Piece Postcards,379.16245000000004,336.43465435895035,335.17267535895036,1.2619789999999997,0.29257691730591645,0.2596064405829828,0.03297047672293363,1.127001767170698,2011
