product_id,product,mail_class,fy,volume,revenue,attributable_cost,volume_variable_cost,product_specific_cost,rev_pc,attributable_cost_pc,cont_pc,cost_coverage,weight,weight_pc,contribution
41,Single Piece Parcel Post,Package Services,2008,89536328.0,718091109.0,783974014.0,783974014.0,,8.02010899,8.75593216,-0.73582317,0.9159629,470859327.0,5.2588635,-65882905.12987804
123,Inbound Surface Parcel Post (at UPU Rates),Package Services,2008,604155.0,9028411.0,5691398.0,5691398.0,,14.94386554,9.4204271,5.52343844,1.58632569,,,3337012.952869
42,Bound Printed Matter Flats,Package Services,2008,289623046.0,261936556.0,157550946.0,157550946.0,,0.90440509,0.54398622,0.36041887,1.66255147,402869329.0,1.39101268,104385610.06817701
43,Bound Printed Matter Parcels,Package Services,2008,308560581.0,429930085.0,399162564.0,399162564.0,,1.39334092,1.29362786,0.09971306,1.07708018,926808478.0,3.00365158,30767520.73153502
44,Media and Library Mail,Package Services,2008,158504963.0,418873438.0,478752111.0,478752111.0,,2.64265188,3.02042348,-0.3777716,0.8749276,354742730.0,2.2380544,-59878673.18715501
265,Total Package Services (incl International),Summary Other,2008,846829073.0,1842088228.0,1825131034.0,1825131034.0,,2.1752775,2.15525316,0.02002434,1.00929095,2155279864.0,2.54511794,16957194.43554688
85,US Postal Service Mail,Other,2008,823684668.0,,,,,,,,,148948377.0,0.18083179,
86,Free Mail,Other,2008,71975380.0,,51973390.0,51973390.0,,,0.72209955,,,33306812.0,0.46275285,
51,Certified Mail,Special Services,2008,268917102.0,717822287.0,602571702.0,602510702.0,61000.0,2.66930694,2.24073403,0.42857291,1.19126452,,,115250584.90844297
52,COD,Special Services,2008,1155026.0,8135548.0,6834863.0,6834863.0,,7.04360594,5.91749724,1.12610871,1.19030152,,,1300684.835118
54,Insurance,Special Services,2008,51595220.0,144581632.0,143855100.0,143843100.0,12000.0,2.8022292,2.78814782,0.01408138,1.00505044,,,726531.995166
55,Registered Mail,Special Services,2008,3861192.0,56883488.0,57739829.0,57738829.0,1000.0,14.73210553,14.95388691,-0.22178139,0.98516898,,,-856340.52138
56,Stamped Envelopes,Special Services,2008,0.0,23420650.0,10044811.0,10044811.0,,,,,2.33161678,,,13375838.944119
57,Stamped Cards,Special Services,2008,0.0,987490.0,1364453.0,1364453.0,,,,,0.72372598,,,-376962.889252
58,Other Domestic Ancillary Services,Special Services,2008,1208209829.0,734471754.0,533667462.0,533391462.0,276000.0,0.60790083,0.44170098,0.16619985,1.37627232,,,200804291.83080205
108,Total Domestic Ancillary Services,Special Services,2008,1533738369.0,1686302849.0,1356078220.0,1355728220.0,350000.0,1.0994723,0.88416528,0.21530701,1.24351444,,,330224629.1030159
109,Total International Ancillary Services,Special Services,2008,16466812.0,29054419.0,62727673.0,62727673.0,,1.76442283,3.80933925,-2.04491642,0.46318343,,,-33673254.269849
73,Money Orders,Special Services,2008,149124623.0,223336366.0,152774605.0,149946367.0,2828238.0,1.49764916,1.02447605,0.47317311,1.46186839,,,70561761.152922
74,Post Office Box Service,Special Services,2008,0.0,896656469.0,640282991.0,639963483.0,319508.0,,,,1.40040651,,,256373477.74923205
76,Other Special Services,Special Services,2008,139000.0,191000.0,5147122.0,5147122.0,,1.37410072,37.02965643,-35.65555571,0.03710811,,,-4956122.243775
266,Total Special Services (incl International),Summary Other,2008,1699468804.0,2835541103.0,2217010612.0,2213512865.0,3497746.0,1.6684867,1.30453151,0.36395519,1.27899302,,,618530491.4915462
3,Single Piece Letters,First Class,2009,30016464675.0,13298977064.0,7902016361.0,7891702361.0,10314000.0,0.44305608,0.26325606,0.17980001,1.68298526,912863851.0,0.0304121,5396960702.602136
4,Single Piece Cards,First Class,2009,1616755072.0,454533625.0,440002937.0,439447937.0,555000.0,0.28113945,0.27215188,0.00898756,1.03302407,10348311.0,0.00640067,14530688.36986798
5,Total Single Piece Letters and Cards,First Class,2009,31633219747.0,13753510689.0,8342019298.0,8331150298.0,10869000.0,0.43478061,0.26371072,0.17106989,1.64870281,923212162.0,0.02918489,5411491390.972005
8,Presort Letters,First Class,2009,44807701007.0,15615862781.0,5366240834.0,5350741834.0,15499000.0,0.34850846,0.11976157,0.22874688,2.910019,1874580676.0,0.04183613,10249621946.820688
9,Presort Cards,First Class,2009,3126015817.0,666223915.0,240955688.0,239881688.0,1074000.0,0.21312237,0.07708076,0.13604161,2.76492297,25335121.0,0.0081046,425268227.114704
10,Total Presort Letters and Cards,First Class,2009,47933716824.0,16282086696.0,5607196522.0,5590623522.0,16573000.0,0.3396792,0.11697813,0.22270107,2.90378385,1912252797.0,0.03989369,10674890173.935392
14,Flats,First Class,2009,2864495701.0,3539891995.0,2157509720.0,2156524720.0,985000.0,1.23578192,0.75319007,0.48259185,1.6407305,597233491.0,0.20849516,1382382274.919495
19,Parcels,First Class,2009,580825695.0,1113757996.0,1095175201.0,1094470201.0,705000.0,1.91754257,1.88554882,0.03199375,1.01696787,189711124.0,0.32662316,18582794.84823608
127,First Class NSAs Domestic,First Class,2009,301476000.0,99036419.0,38285000.0,35364934.0,2920066.0,0.32850515,0.12699187,0.20151328,2.5868204,12337000.0,0.040922,60751419.0
101,Outbound Single Piece Mail International,First Class,2009,456448687.0,756357197.0,468134101.0,468134101.0,,1.65704759,1.02560072,0.63144687,1.6156849,55791415.088184,0.12222933,288223095.973729
102,Inbound Single Piece Mail International,First Class,2009,439954997.0,161353642.0,266623959.0,266623959.0,,0.36675033,0.60602553,-0.23927519,0.60517308,95104600.62371,0.21616893,-105270316.684389
262,Total First Class (incl International),Summary Other,2009,84210137651.0,35872755897.0,17974943801.0,17942891735.0,32052066.0,0.42599094,0.21345344,0.2125375,1.99570893,3690537989.088184,0.04382534,17897812095.964462
21,High Density and Saturation Letters,Marketing Mail,2009,5085391051.0,681945699.0,318151851.0,317781851.0,370000.0,0.13409897,0.06256192,0.07153704,2.14345978,228547848.0,0.04494204,363793847.510118
22,High Density and Saturation Flats and Parcels,Marketing Mail,2009,12356827956.0,1971816460.0,825641954.0,824742954.0,899000.0,0.15957303,0.06681666,0.09275637,2.38822222,2174818618.0,0.17600137,1146174505.634303
23,Carrier Route,Marketing Mail,2009,9856741062.0,2271909004.0,1578322880.0,1577601669.0,721211.0,0.23049292,0.16012624,0.07036668,1.43944502,1993434905.0,0.20224077,693586123.7970829
25,Letters,Marketing Mail,2009,46223874831.0,8709489809.0,5032818677.0,5029407677.0,3411000.0,0.18841973,0.1088792,0.07954052,1.73053916,2585932247.0,0.05594365,3676671132.1016645
26,Flats,Marketing Mail,2009,7793510893.0,2865985839.0,3488253582.0,3487684582.0,569000.0,0.36774002,0.44758436,-0.07984434,0.82161052,1963766023.0,0.2519745,-622267742.8524442
27,Parcels,Marketing Mail,2009,679041478.0,631897530.0,840000687.0,839902687.0,98000.0,0.9305728,1.23703885,-0.30646605,0.75225835,305919650.0,0.45051688,-208103156.84775305
139,Marketing Mail NSA Domestic,Marketing Mail,2009,710174415.0,142262201.0,88774000.0,85194066.0,3579934.0,0.20032009,0.1250031,0.07531699,1.60252102,37023000.0,0.05213226,53488201.0
135,Marketing Mail NSA International,Marketing Mail,2009,649000.0,,,,,,,,,160000.0,0.24653313,
263,Total Marketing Mail (incl International),Summary Other,2009,82706210686.0,17363725193.0,12171963632.0,12162315487.0,9648145.0,0.20994463,0.1471711,0.06277354,1.42653443,9289602291.0,0.11232049,5191761561.342976
31,In County,Periodicals,2009,859268411.0,90615809.0,105052171.0,105052171.0,,0.10545693,0.12225769,-0.01680076,0.86257912,267225951.0,0.31099241,-14436361.556256
32,Outside County,Periodicals,2009,7094446626.0,1932085008.0,2574931011.0,2574931011.0,,0.27233766,0.36295023,-0.09061256,0.75034438,2765136010.0,0.38976063,-642846002.7744079
264,Total Periodicals (incl International),Summary Other,2009,7953715037.0,2038144039.0,2679983181.0,2679983181.0,,0.25625057,0.33694735,-0.08069677,0.76050628,3032361961.0,0.38125102,-641839142.3306642
41,Single Piece Parcel Post,Package Services,2009,80716175.0,699269373.0,761308421.0,761308421.0,,8.66331157,9.43191896,-0.76860738,0.91850997,444397192.0,5.50567705,-62039047.99588203
123,Inbound Surface Parcel Post (at UPU Rates),Package Services,2009,878353.0,12879786.0,12254298.0,12254298.0,,14.66356465,13.95145002,0.71211463,1.05104234,15109663.889468,17.20226821,625488.019006
42,Bound Printed Matter Flats,Package Services,2009,238799031.0,206445151.0,118838899.0,118838899.0,,0.86451419,0.49765235,0.36686184,1.73718499,332350809.0,1.39175945,87606252.156817
43,Bound Printed Matter Parcels,Package Services,2009,270623006.0,362608191.0,371149759.0,371149759.0,,1.33990157,1.37146418,-0.03156261,0.97698619,780716431.0,2.88488567,-8541568.38792002
44,Media and Library Mail,Package Services,2009,140138772.0,397398029.0,472361135.0,472361135.0,,2.83574648,3.37066701,-0.53492053,0.84130128,314553264.0,2.24458413,-74963106.24797499
265,Total Package Services (incl International),Summary Other,2009,731155337.0,1682577458.0,1735912512.0,1735912512.0,,2.30125853,2.3742048,-0.07294627,0.96927549,1887127359.889468,2.58102111,-53335054.45595407
85,US Postal Service Mail,Other,2009,454864854.0,,,,,,,,,126141454.0,0.27731633,
86,Free Mail,Other,2009,61958282.0,,54158424.0,54158424.0,,,0.87411113,,,30243412.0,0.48812541,
51,Certified Mail,Special Services,2009,266490764.0,729813026.0,659479507.0,659464507.0,15000.0,2.73860533,2.47468054,0.26392479,1.10665005,,,70333519.457515
52,COD,Special Services,2009,1015205.0,7564147.0,6596176.0,6596176.0,,7.45085672,6.49738371,0.95347302,1.14674722,,,967970.573523
54,Insurance,Special Services,2009,43767420.0,129069205.0,116869295.0,116867295.0,2000.0,2.94897906,2.67023496,0.2787441,1.10438935,,,12199909.905257
55,Registered Mail,Special Services,2009,3181977.0,49905881.0,50585583.0,50585583.0,,15.68392261,15.8975325,-0.21360989,0.98656333,,,-679701.758396
58,Other Domestic Ancillary Services,Special Services,2009,1301738567.0,751479542.0,519706842.0,519633842.0,73000.0,0.57728914,0.39924057,0.17804858,1.44596815,,,231772699.857374
109,Total International Ancillary Services,Special Services,2009,16891052.0,25645056.0,37409858.0,37409858.0,,1.5182628,2.21477372,-0.69651092,0.68551599,,,-11764802.167133
73,Money Orders,Special Services,2009,135039460.0,191100000.0,146134926.0,143035932.0,3098994.0,1.41514191,1.08216462,0.33297729,1.3076956,,,44965073.859817
266,Total Special Services (incl International),Summary Other,2009,1768124445.0,2825196797.0,2213469746.0,2206291154.0,7178592.0,1.59784952,1.25187441,0.34597511,1.27636567,,,611727051.1650958
131,Priority Mail Express,Competitive,2009,47015273.0,884571111.0,553312001.0,544373210.0,8938791.0,18.81454801,11.76877142,7.04577659,1.59868412,44914777.0,0.95532311,331259110.026338
132,Priority Mail,Competitive,2009,790069671.0,5362466262.0,4123864014.0,4059103611.0,64760402.0,6.78733339,5.21962071,1.56771269,1.30034993,1634451697.0,2.06874375,1238602248.43049
255,Total Ground,Competitive,2009,241186127.0,515033951.0,430214714.0,430107797.0,100000.0,2.13542113,1.78374569,0.35167544,1.19715559,908804894.0,3.76806455,84819237.240834
256,Competitive International Mail,Competitive,2009,321199607.0,,,,,,,,,278820874.013944,0.86806107,
254,Total Competitive Mail and Services (Incl International),Summary,2009,1400697852.0,8132786175.0,6174755385.0,6093412453.0,81342932.0,5.80623877,4.40834215,1.39789662,1.31710257,2866992242.013943,2.04683133,1958030790.616643
3,Single Piece Letters,First Class,2010,27147918293.0,12339555160.0,7376828271.0,7354368770.0,22459501.0,0.45453044,0.27172722,0.18280322,1.67274535,847776797.0,0.03122806,4962726888.652532
4,Single Piece Cards,First Class,2010,1436993692.0,413216238.0,398613759.0,397424932.0,1188827.0,0.28755606,0.27739423,0.01016183,1.03663315,9183251.0,0.0063906,14602479.33901799
5,Total Single Piece Letters and Cards,First Class,2010,28584911985.0,12752771398.0,7775442030.0,7751793702.0,23648328.0,0.44613646,0.2720121,0.17412436,1.64013459,856960048.0,0.02997945,4977329367.991549
8,Presort Letters,First Class,2010,43293820685.0,15345136872.0,5161838861.0,5157781783.0,4057078.0,0.35444173,0.11922807,0.23521366,2.97280432,2048445808.0,0.04731497,10183298010.727797
9,Presort Cards,First Class,2010,2931565187.0,630208763.0,237007727.0,236733009.0,274718.0,0.21497348,0.08084682,0.13412666,2.65902201,23923312.0,0.00816059,393201035.576818
10,Total Presort Letters and Cards,First Class,2010,46225385872.0,15975345635.0,5398846589.0,5394514793.0,4331796.0,0.3455968,0.11679398,0.22880283,2.95902937,2072369120.0,0.04483184,10576499046.304615
14,Flats,First Class,2010,2483991704.0,3117723579.0,2147953273.0,2146390146.0,1563127.0,1.25512641,0.86471838,0.39040803,1.45148576,515683165.0,0.20760261,969770305.9607782
19,Parcels,First Class,2010,574428826.0,1131180789.0,1132418206.0,1132417239.0,967.0,1.96922706,1.97138123,-0.00215417,0.99890728,190876235.0,0.33228875,-1237417.15252209
101,Outbound Single Piece Mail International,First Class,2010,334404183.0,689909143.0,362959119.0,362335790.0,623329.0,2.06309962,1.08539049,0.97770913,1.90079022,60529407.255718,0.18100673,326950024.017113
102,Inbound Single Piece Mail International,First Class,2010,346070796.0,204496097.0,257790012.0,257144936.0,645076.0,0.59090828,0.74490542,-0.15399715,0.79326618,79249603.434394,0.22899824,-53293914.593869
262,Total First Class (incl International),Summary Other,2010,78549193366.0,34025475547.0,17075409228.0,17044596605.0,30812623.0,0.43317409,0.21738491,0.21578918,1.99265945,3775667578.690111,0.04806755,16950066318.527676
21,High Density and Saturation Letters,Marketing Mail,2010,5428042527.0,736917389.0,348527524.0,347708611.0,818913.0,0.13576117,0.06420869,0.07155247,2.11437358,238323200.0,0.04390592,388389864.50952107
22,High Density and Saturation Flats and Parcels,Marketing Mail,2010,11363444416.0,1848254859.0,825826991.0,824112623.0,1714368.0,0.16264917,0.072674,0.08997517,2.23806545,2121947471.0,0.18673453,1022427867.857839
23,Carrier Route,Marketing Mail,2010,9428282942.0,2222971551.0,1559827920.0,1558398664.0,1429256.0,0.23577692,0.16544136,0.07033557,1.42513897,1991215832.0,0.21119602,663143630.4323592
25,Letters,Marketing Mail,2010,48301094047.0,9204686883.0,5106086248.0,5098767906.0,7318342.0,0.19056891,0.10571368,0.08485523,1.80268927,2890277098.0,0.05983875,4098600634.698495
26,Flats,Marketing Mail,2010,7049230266.0,2579363420.0,3161327019.0,3160260743.0,1066276.0,0.3659071,0.44846414,-0.08255704,0.81591161,1773809349.0,0.25163164,-581963598.90621
27,Parcels,Marketing Mail,2010,682403363.0,602318108.0,780156163.0,780116010.0,40153.0,0.88264235,1.14324783,-0.26060548,0.77204813,302311204.0,0.44300955,-177838055.16210604
139,Marketing Mail NSA Domestic,Marketing Mail,2010,271249607.0,58452968.0,36610584.0,36610584.0,,0.21549513,0.13497009,0.08052504,1.59661393,27485103.0,0.10132772,21842384.458945
263,Total Marketing Mail (incl International),Summary Other,2010,82523747168.0,17330408933.0,11818362450.0,11805975142.0,12387308.0,0.21000511,0.14321166,0.06679346,1.4663968,9345369257.0,0.11324461,5512046482.888844
31,In County,Periodicals,2010,695455322.0,73113205.0,98495327.0,98454309.0,41018.0,0.10512998,0.14162711,-0.03649713,0.74230126,203858225.0,0.29312915,-25382121.745048
32,Outside County,Periodicals,2010,6574014264.0,1793301865.0,2391342937.0,2390955200.0,387737.0,0.27278643,0.36375688,-0.09097046,0.74991413,2574114051.0,0.39155894,-598041071.5332079
264,Total Periodicals (incl International),Summary Other,2010,7269469586.0,1878834624.0,2489838263.0,2489409508.0,428755.0,0.25845553,0.34250618,-0.08405065,0.75460107,2777972276.0,0.38214236,-611003639.2782559
41,Single Piece Parcel Post,Package Services,2010,61408341.0,614936820.0,748868593.0,748868593.0,,10.0138973,12.19490025,-2.18100296,0.82115451,405953789.0,6.61072718,-133931773.30604804
123,Inbound Surface Parcel Post (at UPU Rates),Package Services,2010,1088839.0,17028995.0,11460228.0,11460228.0,,15.63958951,10.52518107,5.11440844,1.48592118,19142396.582998,17.58055744,5568767.371905
42,Bound Printed Matter Flats,Package Services,2010,229751608.0,190409094.0,129358248.0,129358248.0,,0.82876066,0.56303522,0.26572544,1.47195171,320168096.0,1.39354017,61050846.027724
43,Bound Printed Matter Parcels,Package Services,2010,244735541.0,321564284.0,349249071.0,349249071.0,,1.31392557,1.4270468,-0.11312123,0.92073054,679753772.0,2.7775033,-27684786.508102
44,Media and Library Mail,Package Services,2010,122322100.0,368766428.0,458551368.0,458551368.0,,3.01471629,3.74872053,-0.73400424,0.80419873,284889343.0,2.32900958,-89784939.72185099
265,Total Package Services (incl International),Summary Other,2010,659306429.0,1515503219.0,1697487507.0,1697487507.0,,2.29863255,2.57465639,-0.27602383,0.89279197,1709907396.582998,2.5934942,-181984288.13637304
136,International Negotiated Service Agreements,Other,2010,1142651.0,625429.0,162000.0,162000.0,,0.5473491,0.14177557,0.40557353,3.86067284,286558.0,0.25078349,463429.0
85,US Postal Service Mail,Other,2010,431206015.0,,,,,,,,,131446673.0,0.30483497,
86,Free Mail,Other,2010,67214168.0,,66303272.0,66303272.0,,,0.98644786,,,31048164.0,0.46192886,
51,Certified Mail,Special Services,2010,268724724.0,752429224.0,634691242.0,634691242.0,,2.79999999,2.36186396,0.43813603,1.18550434,,,117737982.49068797
52,COD,Special Services,2010,834483.0,6522005.0,8245738.0,8245738.0,,7.81562357,9.88125395,-2.06563038,0.79095463,,,-1723733.439967
54,Insurance,Special Services,2010,39146196.0,125567053.0,98623510.0,98623510.0,,3.2076438,2.51936382,0.68827999,1.27319595,,,26943543.253022
55,Registered Mail,Special Services,2010,2966550.0,47805705.0,42566649.0,42566649.0,,16.11491632,14.34887298,1.76604334,1.12307889,,,5239055.858915
58,Other Domestic Ancillary Services,Special Services,2010,1605496227.0,807075588.0,494109194.0,494109194.0,,0.50269541,0.30776104,0.19493437,1.63339521,,,312966394.337794
109,Total International Ancillary Services,Special Services,2010,2752831.0,29387844.0,27402399.0,27402399.0,,10.67549871,9.95426115,0.72123756,1.07245516,,,1985445.114489
73,Money Orders,Special Services,2010,123404756.0,183152827.0,126338894.0,123299669.0,3039225.0,1.48416344,1.02377654,0.4603869,1.44969472,,,56813932.996491
266,Total Special Services (incl International),Summary Other,2010,2043325767.0,,,,,,,,,,,
131,Priority Mail Express,Competitive,2010,42552965.0,827897984.0,495559520.0,489662958.0,5896562.0,19.45570618,11.6457107,7.80999548,1.67063279,39794417.0,0.93517378,332338464.243546
132,Priority Mail,Competitive,2010,809470603.0,5656639116.0,4246634295.0,4128375674.0,118258621.0,6.98807232,5.24618717,1.74188515,1.33202878,1698402755.0,2.09816484,1410004820.9916978
255,Total Ground,Competitive,2010,296824042.0,568756170.0,419897471.0,419891492.0,,1.91613916,1.4146343,0.50150486,1.35451202,1058066844.0,3.56462649,148858699.32829797
256,Competitive International Mail,Competitive,2010,289053798.0,1490160256.0,979111627.0,973471698.0,5639929.0,5.1553042,3.38729896,1.76800524,1.52195134,291348997.310806,1.00794039,511048629.306916
3,Single Piece Letters,First Class,2011,24550823641.0,11201600776.0,6848209223.0,6824301793.0,23907430.0,0.45626171,0.2789401,0.17732161,1.6356978,769643158.0,0.03134898,4353391553.083662
4,Single Piece Cards,First Class,2011,1295941093.0,379162450.0,336434654.0,335172675.0,1261979.0,0.29257692,0.25960644,0.03297048,1.12700177,8279536.0,0.00638882,42727795.64104998
5,Total Single Piece Letters and Cards,First Class,2011,25846764734.0,11580763226.0,7184643877.0,7159474468.0,25169409.0,0.44805465,0.27797072,0.17008393,1.61187714,777922694.0,0.03009749,4396119348.72471
8,Presort Letters,First Class,2011,41740735339.0,14891080210.0,4963358878.0,4957935036.0,5423842.0,0.35675175,0.11890923,0.23784251,3.0002022,2210724710.0,0.05296324,9927721332.042118
9,Presort Cards,First Class,2011,2753762510.0,597342731.0,220231339.0,219873512.0,357827.0,0.21691875,0.0799747,0.13694405,2.71234209,22478610.0,0.00816287,377111392.060184
10,Total Presort Letters and Cards,First Class,2011,44494497849.0,15488422941.0,5183590217.0,5177808548.0,5781669.0,0.34809749,0.11649958,0.23159791,2.9879721,2233203320.0,0.05019055,10304832724.1023
14,Flats,First Class,2011,2230919856.0,2814198117.0,1946399206.0,1944778519.0,1620687.0,1.26145191,0.87246487,0.38898704,1.44584837,455320506.0,0.20409541,867798911.2608261
19,Parcels,First Class,2011,637982206.0,1284462449.0,1168973307.0,1168367563.0,605744.0,2.01332018,1.83229767,0.18102251,1.09879536,208796413.0,0.32727623,115489142.35304093
101,Outbound Single Piece Mail International,First Class,2011,310335185.0,647663662.0,438475606.0,437903028.0,572577.0,2.08698109,1.41290974,0.67407135,1.47708026,54178259.0,0.17457981,209188056.29986697
102,Inbound Single Piece Mail International,First Class,2011,238078053.0,136316821.0,172462693.0,172023432.0,439261.0,0.57257198,0.7243956,-0.15182362,0.79041339,58133674.112337,0.24417906,-36145871.88625402
262,Total First Class (incl International),Summary Other,2011,73758577883.0,32097933429.0,16094544905.0,16060355558.0,34189347.0,0.4351756,0.21820574,0.21696986,1.99433619,3787554866.112338,0.0513507,16003388523.854486
21,High Density and Saturation Letters,Marketing Mail,2011,5653874948.0,767934734.0,349009794.0,347855276.0,1154518.0,0.1358245,0.06172931,0.07409519,2.20032431,237736151.0,0.04204836,418924940.212768
22,High Density and Saturation Flats and Parcels,Marketing Mail,2011,11424568140.0,1880643586.0,882760888.0,880427999.0,2332889.0,0.16461398,0.07726864,0.08734533,2.13041109,2144022645.0,0.18766772,997882697.9607428
23,Carrier Route,Marketing Mail,2011,9335928374.0,2222005488.0,1647827365.0,1645914474.0,1912891.0,0.23800584,0.17650386,0.06150198,1.34844556,1993085265.0,0.21348549,574178122.822824
25,Letters,Marketing Mail,2011,50584189204.0,9707631806.0,5288553756.0,5278196845.0,10356911.0,0.1919104,0.10454954,0.08736086,1.83559292,2666837031.0,0.05272076,4419078049.909545
26,Flats,Marketing Mail,2011,6783186365.0,2491077079.0,3142861579.0,3141474724.0,1386855.0,0.36724291,0.46333116,-0.09608825,0.79261432,1710266860.0,0.25213326,-651784499.8093219
27,Parcels,Marketing Mail,2011,733770153.0,650673222.0,767297783.0,767212147.0,85636.0,0.88675346,1.04569228,-0.15893882,0.84800613,321571215.0,0.43824516,-116624560.52187204
139,Marketing Mail NSA Domestic,Marketing Mail,2011,175741965.0,38143821.0,23281000.0,23281000.0,,0.21704447,0.13247263,0.08457184,1.63840991,18419209.0,0.10480826,14862821.0
263,Total Marketing Mail (incl International),Summary Other,2011,84691259149.0,17826150378.0,12078311164.0,12061081464.0,17229700.0,0.21048395,0.14261579,0.06786815,1.47588103,9091938376.0,0.10735392,5747839213.574692
31,In County,Periodicals,2011,661561122.0,69180835.0,89249728.0,89212110.0,37618.0,0.1045721,0.13490776,-0.03033566,0.77513776,192369949.0,0.29078182,-20068893.403194
32,Outside County,Periodicals,2011,6415178344.0,1743551087.0,2340773780.0,2340409001.0,364779.0,0.27178529,0.36488055,-0.09309526,0.74486099,2533036164.0,0.39485047,-597222693.2978959
264,Total Periodicals (incl International),Summary Other,2011,7076739466.0,1821135301.0,2430023509.0,2429621112.0,402397.0,0.25734101,0.3433818,-0.08604078,0.74943115,2725406113.0,0.38512173,-608888207.7010899
41,Single Piece Parcel Post,Package Services,2011,70217810.0,732461932.0,821118831.0,821118831.0,,10.4312842,11.69388267,-1.26259847,0.89202915,487293861.0,6.93974735,-88656899.18331301
123,Inbound Surface Parcel Post (at UPU Rates),Package Services,2011,1017314.0,18963418.0,10725437.0,10725437.0,,18.64067339,10.54289736,8.09777603,1.76807881,18346461.335242,18.0342169,8237980.919775
